QID,Title,Sub Category,Category,CVE ID,Vendor Reference,CVSS Base,CVSS3 Base,Bugtraq ID,Modified,Published
6,DNS Host Name,Remote Discovery,"Information gathering,",,,'-,'-,,01/01/1999 at 05:00:00 (GMT-0300),
9,Open RPC Services List,Remote Discovery,"RPC,",,,'-,'-,,01/01/1999 at 05:00:00 (GMT-0300),
11,Hidden RPC Services,Remote Discovery,"RPC,",,,5,'-,,01/01/1999 at 05:00:00 (GMT-0300),
32,Darxite Banner,Remote Discovery,"General remote services,",,,'-,'-,,11/22/2000 at 15:29:32 (GMT-0300),
1000,Potential UDP Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1001,Back Orifice Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1002,GirlFriend Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1004,Potential TCP Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,10,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1005,Deep Throat (Version 1) Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1006,Deep Throat (Version 2) Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1007,Deep Throat (Version 3) Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1008,Netsphere Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1009,Gatecrasher Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1010,Portal Of Doom Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1011,Evil FTP Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1012,Phase Zero Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1013,Hack a Tack backdoor detected,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1014,Subseven Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,10,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1015,NetBus Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1016,Kuang2 Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1017,Cdk Backdoor,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1018,Dell Foundation Service eDellRoot and Dell System Detect 'DSDTestProvider' Certificates Detected,"Windows Authenticated Discovery, Patch Available",Backdoors and trojan horses,,KB3119884,8.8,'-,,11/24/2015 at 17:42:09 (GMT-0300),
1019,Remote Shell Trojan,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,08/28/2001 at 13:50:35 (GMT-0300),
1020,Potential Remote Shell Trojan,Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,08/28/2001 at 15:31:05 (GMT-0300),
1021,Installed Back Orifice 2000,"Windows Authenticated Discovery, Patch Available","Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1022,Installed NetBus Pro Server,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,0,'-,,01/01/1999 at 05:00:00 (GMT-0300),
1023,Remote Shell Trojan (B),Remote Discovery,"Backdoors and trojan horses,",,,0,'-,,01/14/2002 at 15:16:26 (GMT-0300),
1024,Code Red Worm is Present,"Remote Discovery, Patch Available","Backdoors and trojan horses,",,,0,'-,,03/22/2002 at 15:19:29 (GMT-0300),
1025,Slapper - Apache/Openssl  worm,"Remote Discovery, Patch Available","Backdoors and trojan horses,",,,10,'-,,09/26/2002 at 01:40:38 (GMT-0300),
1026,TCP Wrapper Backdoor Vulnerability,"Remote Discovery, Patch Available","Backdoors and trojan horses,",,,10,'-,118,04/17/2009 at 03:33:52 (GMT-0300),02/09/2003 at 21:44:04 (GMT-0300)
1027,Apple Mac OS X KeRanger Ransomware Detected,Unix Authenticated Discovery,"Backdoors and trojan horses,",,,8.5,'-,,04/01/2016 at 18:50:29 (GMT-0300),
1028,Banswift Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,10,0,,04/26/2016 at 20:42:07 (GMT-0300),
1265,Backoff PoS Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,6.8,'-,,11/10/2014 at 20:18:24 (GMT-0300),
1266,Dexter PoS Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,6.8,'-,,11/12/2014 at 18:55:49 (GMT-0300),
1267,BlackPoS (aka Kaptoxa) PoS Malware Detected,Windows Authenticated Discovery,"Backdoors and trojan horses,",,,6.8,'-,,11/12/2014 at 18:55:49 (GMT-0300),
