QID,NID
370450,101084
11844,102918
11844,101361
150178,102918
150178,101361
370474,103536
370474,101548
176074,101012
276750,101505
176069,100967
276730,101245
276731,101247
170175,101191
170176,101190
176059,100774
170172,101136
170078,100910
256244,101237
157488,101251
236390,101255
176064,102926
276756,101601
170088,100713
196811,100755
351027,101273
256239,101091
157481,101076
276718,101054
276717,101071
170103,100830
236382,101077
236425,102106
196842,101262
351049,101959
276738,101122
276737,101182
170203,101831
196834,101083
176054,100726
276771,101989
196815,100836
176055,100727
170102,100832
276744,101577
176046,100522
276795,101795
236430,102144
170065,100803
196802,100591
276741,101499
196849,101835
196795,100509
170231,102188
276700,100740
276658,100493
170195,101516
170141,101226
256240,101119
157482,101097
276692,100735
236383,101078
170127,101081
196810,100678
170092,100709
170122,101058
176039,100306
276686,100607
170057,100588
170058,100589
196796,100546
351045,101551
276710,100855
170164,101129
236433,102103
276671,100361
276670,100364
11814,100385
176048,100560
196779,100156
157461,100449
157462,100450
170243,102353
276676,100334
170040,100286
196805,100662
170054,100566
196793,100414
351005,100641
351006,100642
256219,100326
256220,100327
256222,100358
256221,100359
176023,100029
157458,100341
157457,100342
157459,100368
157460,100369
276655,100309
276617,100196
170041,100366
170045,100447
236353,100317
236354,100318
236357,100370
236358,100371
169981,100241
169983,100244
169987,100289
169989,100291
170056,100569
350984,99532
110301,102272
370452,101113
87231,59677
116378,38668
38508,20361
34016,14270
86642,12043
74111,11727
68506,56496
68505,56496
66001,11337
50014,10292
66014,10251
27004,14599
74057,10055
27064,10464
119499,53267
117847,67034
119120,52945
119645,56073
119649,56127
110143,56178
110143,56175
118822,57890
350726,69580
350724,69582
350645,69592
350715,69639
350597,69708
