Plugin ID 1,Plugin Name 1,CVEs 1,Plugin ID 2,Plugin Name 2,CVEs 2,Similarity
nessus-10009,AIX FTPd libc Library Remote Buffer Overflow,CVE-1999-0789,qualys-27151,WU-FTPD Message Buffer Overflow Vulnerability,CVE-1999-0879,0.8000000000000002
nessus-10011,Alibaba get32.exe Arbitrary Command Execution,CVE-1999-0885,qualys-10124,CSM Alibaba Web Server Piped Command Vulnerability,CVE-1999-0885,0.8366666666666666
nessus-10012,Alibaba Web Server 2.0 HTTP Request Overflow DoS,CVE-2000-0626,qualys-86184,CSM Alibaba Web Server DoS Vulnerability,CVE-2000-0626,0.84
nessus-10014,Alibaba tst.bat Arbitrary Command Execution,CVE-1999-0885,qualys-10124,CSM Alibaba Web Server Piped Command Vulnerability,CVE-1999-0885,0.8166666666666668
nessus-10015,AltaVista Intranet Search CGI query Traversal Arbitrary File Access,CVE-2000-0039,qualys-34018,Multiple Check Point FireWall-1 HTTP Security Server Remote Format String Vulnerabilities,CVE-2004-0039,0.7666666666666667
nessus-10016,AN-HTTPd Multiple Test CGIs Arbitrary Command Execution,CVE-1999-0947,qualys-10540,ht://dig Remote Command Execution Vulnerability,CVE-1999-0978,0.7933333333333333
nessus-10017,Xylogics Annex Terminal Service ping CGI Program DoS,CVE-1999-1070,qualys-10007,IRIS Performer API Search Tool Vulnerability,CVE-1999-0270,0.7666666666666667
nessus-10018,Knox Arkeia Backup Service Buffer Overflow,CVE-1999-1534,qualys-27061,Celtech ExpressFS USER Buffer Overflow Vulnerability,CVE-1999-1514,0.7766666666666667
nessus-10019,Ascend MAX / Pipeline Router Discard Port Malformed Packet DoS,CVE-1999-0060,qualys-50014,IMAP 'authenticate' Command Buffer Overflow Vulnerability,CVE-1999-0005,0.7533333333333334
nessus-10020,+ + + ATH0 Modem Hang Up String Remote DoS,CVE-1999-1228,qualys-10862,Netware NDS Tree Can Be Browsed,CVE-1999-1020,0.7166666666666667
nessus-10021,Identd Service Detection,,qualys-150111,HTTP Service Detection Failure,,0.78
nessus-10022,Axent Raptor Firewall Zero Length IP Remote DoS,CVE-1999-0905,qualys-10210,"CGI imagemap, imagemap.cgi or imagemap.exe Present Vulnerability",CVE-1999-0059,0.7466666666666667
